,Title,Review,Rating
0,Go for any other company rather than this company if are investing huge money.,OnePlus you trash I bought new OnePlus 6t on January for 38k- 128gb 6gb-ram varient and now OnePlus 7 is launched for for 33k-128gb 6gb varient. What kind of game is this brand playing with its customers. Seriously you wanna be Apple started increasing price of your phone and now when you realise that it's not possible for you to stay in the market you decreased the price of your next phone. This shows how week one plus is. It doesn't have the balls to compete and retain its customers.,1.0
1,Worst performance,"Camera was shutting off suddenly and charging was not upto the mark service centre was not doing well,heating issue on voice calls think I ve got defective piece",4.0
2,Best phone,Best phone,5.0
3,Mobile is good know at reasonable cost.,"Everything is fine & up to the mark, with reasonable cost & oxygen os software is something unique and super fast in comparison to other android phones.",4.0
4,Satisfied :),"The delivery was fast and the phone is awesome. I have been using it for months now, and the review just keeps getting more positive.",5.0
5,good,all the features are awesome,5.0
6,VFM,"Fingerprint reader although cool, is sluggish",4.0
7,Oneplus is best product is oneplus 6t,Very complicated product se very good,5.0
8,Perfect 1 with good camera,Good device but want to see what difference will bring with oneplus 7...,5.0
9,Awesome,Perfect at this price,5.0
10,Not too good,Phone hanging problem even 6gb ram . Finger print not proper working,2.0
11,Good phone except for the battery,Touch is little concern..rest all ok.battery gets charged fast enough..but gets drained very quickly.,4.0
12,Great features and grand performance .,All features are very nice and user friendly.,5.0
13,Not hai good phone seriously not satisfied,My phone is not working properly some days before the motherboard has been replace but the problem hasn’t been solved,1.0
14,Best,Best,5.0
15,Value for price,Amazing phone under this price,4.0
16,Best phone in the world for me,Super phone fastest phone till now in my life 10 GB ram,5.0
17,Zin zing zing zhigat,Best phone ever,5.0
18,About price decrease,I am very sad because I bought 6T the price 41999/-But after one month the price decrease to 32000/-its very bad,1.0
19,Perfect smartphone,Loved the phone,5.0
20,"Good Phone but camera can be better, Value for money !!",Oneplus has always been my favourite device. This is my 3rd Oneplus phone  and I have decided to use Oneplus for life.Pros:Great battery lifeAmazing performancePremium designIn display fingerprint scanner is really fastface recognition is goodDash charging is one of the highlight of the phone.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -Cons:No headphone jack but you'll get a converterThere is no notification ledNo Memory card slotAll glass this makes the phone fragileBit HeavyWeak camera quality in this price range4.5 OUT OF 5 - Sachin Soni,4.0
21,Premium phone,This is one of my dream phone. Speed is awesome and front camera is ok not so great as compared to other phone. But rear camera is cool. Till now no issue.. Oxygen is cool and easy to customise... Overall it's killer phone got just exchange discount with my MI A1.,5.0
22,Substandard quality,The phone comtinously hangs,1.0
23,Perfect buy,Superb phone. Loved it. Great speed and easy to use. Light weight compared to models of similar screen size.,5.0
24,Good,Good product,4.0
25,Speed in work,Dont have words to express its speed and  working loving it .,5.0
26,Speed Goods,Amazing Mobile,5.0
27,My Dream Phone,Nothing bad words for 6TJust love it,5.0
28,Faulty sensor,Fingerprint sensor is not at all working and it's been only 4days I bought it.. Don't buy such a waste of money.,1.0
29,Value for money,"Best quality premium phone by one plus. Good touch, long battery life and tough built quality. Good amera quality even in low light.",5.0
30,I love the phone. Its looks sexy and easy to use,I love the phone. Worth of money i spend,5.0
31,Faulty finger print need replacement,Finger print is not  working,2.0
32,"6GB Ram at 29,999.","In one of the mall 6GB is sold at 29,999.",3.0
33,Not worth money.,"One plus 6t was marketed as best smartphone of the market but it's not. I have used this for 3-4 months to tell difference. Before this I've used MI phone and they are better when it comes to user interface.Cons1. On screen fingerprint sensor is horrible. Face detection is horrible. Night time u have to use ur code to unlock ur phone.2. If you have google chromecast then one plus is a bad choice. U cannot caste amazing time video on TV. U can caste device but it'll show blind screen. Also u cannot watch HD quality on Netflix.3. It has major glich for sound. Sometimes u cannot reduce or increase sound it'll stay the same. If u r listening song and u connect bullet headphones then sound doesn't transfer to headphone, it'll continue from mobile speakers. Also it has lot of issues with Bluetooth, when disconnected from car Bluetooth device there is problem again with sound button. U have to restart ur phone to make it workable. The problem with is sound button is actually software problem and it's very annoying.4. It doesn't have IR sensor for universal remote. Which is very useful.Pros1. It's very fast.2. Camera is good quality.3. Speed charging is very good. I get full battery within 40 minute charge.Overall I am bit disappointed using this phone because they have not done proper research on user interface. Doesn't give premium feeling. My previous MI phone was very good in that case. Absolutely not worth 40k.",3.0
34,Not satisfied,Dissatisfied ..not hearing I incoming calls voice.,1.0
35,Battery week,Battery life is week 😭😫😣😣,5.0
36,Amazing,Nice smartphone,5.0
37,love it,wonderfullove this phone,5.0
38,Beat phone till date,"Camera quality , speed of phone , charging speed all are working excellent",5.0
39,Its gud,Hi,5.0
40,Nice one,Very good phone,5.0
41,Awesome phone,Is good the phone is awesome camera is wonderful..,5.0
42,One plus 6t,Very good,5.0
43,Poor inbuilt finger print and camera,"OnePlus used to be the best,its having amazing speed and performance.but camera is not good as we see in demo phone in store.finger print also not satisfied.rest everything is awesome.",3.0
44,"Best mobile. But, rate may be reduced.",Cost of mobile Higher.,5.0
45,awesome video,Nice product,5.0
46,Performance,"Good smartphone, looks premium",5.0
47,It has hanging problem,Phone is local,3.0
48,Good but,Everything is amazing I don't have to explain but fingerprint scanner is slow.,5.0
49,Pathetic Battery Life,Phone is getting heatup on charging and battery is draining very fast!!!,1.0
50,Jeeban,Fantastic thanks OnePlus,5.0
51,My opinion on this phone,"This phone is best in this price range. Camera quality is best battery life is excellent and it's quick charger is really very quick. At the start you might face issue with the fingerprint sensor but when you get use to it,it becomes handy",5.0
52,Handset,Awesome,5.0
53,Its excellent,Iam very much satisfied,5.0
54,Value for money,Decent n value for money,5.0
55,V.gud,V.good bettry backup,5.0
56,Go for it,Good product,5.0
57,Fully satisfied,Fully satisfied,5.0
58,Good,Camera Qwaliti is normal,5.0
59,Good,Good,5.0
60,Good phone,Nice one,5.0
61,Superb phone,Superfast phone,5.0
62,Just go for it,Too good,5.0
63,Worth for money,Best mobile I have used so far,5.0
64,Very poor experience with Amazon,Finger sensor not working,3.0
65,Good,Good,5.0
66,Very Good,Very Good,5.0
67,BUY KARO FRIEND'S NO ONE,NICE PRODUCT,4.0
68,Awesome product..,Great features with super fast RAM,5.0
69,Battery,Battery life,4.0
70,1 of the best phone.,Best phone under this price segment,4.0
71,Beautiful piece of machinery.,"Everything about the device is amazing but only one thing disappoints me, The notification slider. It's built quality is okay. If it matches the quality of Apple, then I'd have no complaints. I hope the company will work on this issue in the models to come.",4.0
